cluster_id,size,representative_task,trace_ids,top_terms,top_tools,used_skills,coverage_gap,failure_rate,success_rate,tool_reuse_count,explanations
C02,2,rich 未安装时终端首页崩溃，增加纯文本 fallback,"T010, T016","rich, vite, ui, build, components, lucide, missing-import, toolbar.tsx","rg, read, edit, python, npm","terminal-dashboard, frontend-screenshot-verify",0.2800,0.5000,0.5000,0,failure_hotspot: Repeated failures or tool errors suggest a workflow that needs explicit recovery guidance.; high_reuse_path: A recurring tool sequence can be captured as a reusable operational path.
C03,12,给 Python CLI 项目补 pytest，并修复导入路径导致的测试失败,"T001, T002, T003, T004, T007, T008, T011, T014, T017, T019, T021, T022","pytest, skillminer, python, tests, edit, read, trace, skill","read, edit, pytest, rg, python","test-failure-repair, skill-safety-review, skill-recommender, skill-authoring, trace-mining",0.1400,0.0833,0.9167,0,failure_hotspot: Repeated failures or tool errors suggest a workflow that needs explicit recovery guidance.; high_reuse_path: A recurring tool sequence can be captured as a reusable operational path.
C01,5,为终端首页增加挖掘结果面板和推荐结果表格,"T009, T013, T015, T024, EVT-62cc8d95ba","ui, readme.md, read_file, 结果, 推荐, react, 需要, 荐结","read, edit, python, rg, pytest","terminal-dashboard, trace-mining, frontend-screenshot-verify, skill-recommender",0.1400,0.0000,1.0000,0,high_reuse_path: A recurring tool sequence can be captured as a reusable operational path.
C04,6,命令行 demo 输出为空，检查 sample data 与 processed traces 是否存在,"T005, T006, T012, T018, T020, T023","python, data, argparse, docs, mining_report.json, edit, 与, 为空","read, edit, python, rg, ls","cli-polish, experiment-reporting, trace-mining, skill-recommender",0.0500,0.0000,1.0000,0,high_reuse_path: A recurring tool sequence can be captured as a reusable operational path.
